"Label (Grouping)","Louisiana"
"Total:","4,657,757"
"    Population of one race:","4,384,380"
"        White alone","2,657,652"
"        Black or African American alone","1,464,023"
"        American Indian and Alaska Native alone","31,657"
"        Asian alone","86,438"
"        Native Hawaiian and Other Pacific Islander alone","1,911"
"        Some Other Race alone","142,699"
"    Population of two or more races:","273,377"
"        Population of two races:","255,214"
"            White; Black or African American","43,631"
"            White; American Indian and Alaska Native","50,194"
"            White; Asian","17,001"
"            White; Native Hawaiian and Other Pacific Islander","1,278"
"            White; Some Other Race","116,354"
"            Black or African American; American Indian and Alaska Native","7,332"
"            Black or African American; Asian","2,323"
"            Black or African American; Native Hawaiian and Other Pacific Islander","419"
"            Black or African American; Some Other Race","13,305"
"            American Indian and Alaska Native; Asian","280"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","69"
"            American Indian and Alaska Native; Some Other Race","1,601"
"            Asian; Native Hawaiian and Other Pacific Islander","504"
"            Asian; Some Other Race","660"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","263"
"        Population of three races:","15,833"
"            White; Black or African American; American Indian and Alaska Native","4,955"
"            White; Black or African American; Asian","985"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","121"
"            White; Black or African American; Some Other Race","2,995"
"            White; American Indian and Alaska Native; Asian","840"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","117"
"            White; American Indian and Alaska Native; Some Other Race","3,407"
"            White; Asian; Native Hawaiian and Other Pacific Islander","500"
"            White; Asian; Some Other Race","819"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","133"
"            Black or African American; American Indian and Alaska Native; Asian","137"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","40"
"            Black or African American; American Indian and Alaska Native; Some Other Race","374"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","170"
"            Black or African American; Asian; Some Other Race","128"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","46"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","21"
"            American Indian and Alaska Native; Asian; Some Other Race","13"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","7"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","25"
"        Population of four races:","2,083"
"            White; Black or African American; American Indian and Alaska Native; Asian","339"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","46"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","1,250"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","64"
"            White; Black or African American; Asian; Some Other Race","67"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","30"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","58"
"            White; American Indian and Alaska Native; Asian; Some Other Race","82"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","8"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","27"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","38"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","21"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","47"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","5"
"        Population of five races:","214"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","82"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","95"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","11"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","15"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","8"
"        Population of six races:","33"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","33"